"Data operação","Categoria","Código Ativo","Operação C/V","Quantidade","Preço unitário","Corretora"
"2026-06-09","ETF","HASH11","Venda","22.00000000","40.79000000","investidor10"
"2026-05-11","FII","INLG11","Compra","6.00000000","70.49000000","investidor10"
"2026-05-11","FII","VGRI11","Compra","150.00000000","6.51000000","investidor10"
"2026-04-14","Internacional","VSS","Compra","2.74469907","156.68000000","investidor10"
"2026-04-14","Internacional","VXUS","Compra","7.25557772","82.70000000","investidor10"
"2026-02-26","FII","GARE11","Compra","150.00000000","8.56000000","investidor10"
"2026-02-09","FII","XPLG11","Compra","8.00000000","102.91000000","investidor10"
"2026-02-09","FII","MXRF11","Compra","130.00000000","9.62000000","investidor10"
"2026-02-09","FII","XPML11","Compra","10.00000000","110.53000000","investidor10"
"2026-02-09","FII","KNCR11","Compra","7.00000000","105.33000000","investidor10"
"2026-02-09","FII","CPTS11","Compra","90.00000000","8.16000000","investidor10"
"2026-02-09","FII","KORE11","Compra","10.00000000","73.49000000","investidor10"
"2026-01-12","ETF","NDIV11","Compra","3.00000000","121.06000000","investidor10"
"2026-01-12","ETF","NSDV11","Compra","4.00000000","146.92000000","investidor10"
"2025-12-29","Ações","POMO4","Compra","30.00000000","6.21000000","investidor10"
"2025-11-25","FII","RBRY11","Compra","33.00000000","95.19000000","investidor10"
"2025-11-25","FII","KNCR11","Compra","10.00000000","105.63000000","investidor10"
"2025-11-25","FII","INLG11","Compra","14.00000000","73.90000000","investidor10"
"2025-11-25","FII","RBRR11","Compra","12.00000000","83.53000000","investidor10"
"2025-11-24","FII","VISC11","Venda","21.00000000","109.08000000","investidor10"
"2025-11-24","FII","HGLG11","Venda","12.00000000","159.95000000","investidor10"
"2025-11-24","FII","KNRI11","Venda","14.00000000","148.16000000","investidor10"
"2025-11-18","Internacional","JEPI","Compra","2.66460185","56.31000000","investidor10"
"2025-11-18","Internacional","JEPQ","Compra","2.00000000","57.00000000","investidor10"
"2025-11-07","Ações","SAPR4","Compra","20.00000000","6.82000000","investidor10"
"2025-11-07","Ações","SAPR4","Compra","99.00000000","6.83000000","investidor10"
"2025-11-07","Ações","WEGE3","Compra","13.00000000","44.28000000","investidor10"
"2025-11-06","FII","ITIT11","Venda","34.00000000","68.65000000","investidor10"
"2025-11-06","FII","KORE11","Compra","40.00000000","68.13000000","investidor10"
"2025-11-06","Ações","TOTS3","Compra","60.00000000","45.16000000","investidor10"
"2026-06-16","Cripto","ETH","Compra","0.16569567","9048.33000000","investidor10"
"2026-04-10","Cripto","BTC","Compra","0.00544731","367153.69000000","investidor10"
"2026-03-08","Cripto","BTC","Compra","0.00042176","355652.50000000","investidor10"
"2026-03-08","Cripto","ETH","Compra","0.03857859","10368.44000000","investidor10"
"2026-03-08","Cripto","SOL","Compra","1.02272727","440.05000000","investidor10"
"2025-11-26","Cripto","LINK","Venda","34.85119203","69.78000000","investidor10"
"2025-11-26","Cripto","BCH","Venda","0.44108522","2856.79000000","investidor10"
"2025-11-26","Cripto","UNI","Venda","26.75265975","32.69207653","investidor10"
"2025-11-26","Cripto","USDC","Compra","142.20765370","5.40934316","investidor10"
"2025-11-26","Cripto","BTC","Compra","0.00283723","471220.16000000","investidor10"
